epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.6479,1.70637,2.9155,1.7723,0.71194,0.3721,0.47525,0.24392,1.61934,2.87723,1.73884,0.00033033,0.00033033,0.00033033
2,28.6876,1.59917,2.1716,1.67316,0.59244,0.37052,0.46932,0.17846,2.04099,2.73196,2.11033,0.000650523,0.000650523,0.000650523
3,41.5874,1.57912,2.02844,1.66008,0.7882,0.43602,0.54264,0.26055,1.76649,2.71117,1.93271,0.000957516,0.000957516,0.000957516
4,54.2001,1.56517,1.91632,1.6508,0.45812,0.54585,0.50622,0.2381,1.78506,2.30181,1.88555,0.0009406,0.0009406,0.0009406
5,66.7307,1.53041,1.79367,1.62829,0.77401,0.62013,0.67566,0.30995,1.81413,1.78653,1.90603,0.0009208,0.0009208,0.0009208
6,79.2854,1.53839,1.78381,1.6267,0.72306,0.5029,0.5449,0.30893,1.48472,1.66372,1.60732,0.000901,0.000901,0.000901
7,92.1118,1.5057,1.70742,1.59598,0.51698,0.70201,0.61334,0.30113,1.63804,1.78261,1.73499,0.0008812,0.0008812,0.0008812
8,104.746,1.4934,1.68696,1.60553,0.46991,0.62929,0.62224,0.34464,1.52807,1.64419,1.62892,0.0008614,0.0008614,0.0008614
9,118.304,1.45207,1.5987,1.56901,0.60306,0.70797,0.74248,0.40093,1.53049,1.4089,1.69193,0.0008416,0.0008416,0.0008416
10,131.563,1.45344,1.58161,1.56394,0.48536,0.65567,0.6134,0.3527,1.61291,1.48345,1.73737,0.0008218,0.0008218,0.0008218
11,144.474,1.44278,1.55613,1.55138,0.56427,0.7687,0.76176,0.36892,1.58923,1.50235,1.64905,0.000802,0.000802,0.000802
12,157.033,1.44351,1.52503,1.55315,0.71321,0.64528,0.68365,0.36957,1.56921,1.46429,1.64538,0.0007822,0.0007822,0.0007822
13,169.836,1.43069,1.5278,1.53929,0.56724,0.75879,0.72588,0.36451,1.58065,1.49248,1.70492,0.0007624,0.0007624,0.0007624
14,182.465,1.41518,1.49292,1.53649,0.52176,0.66545,0.64814,0.38898,1.51376,1.29275,1.59922,0.0007426,0.0007426,0.0007426
15,195.096,1.40406,1.47179,1.5312,0.7366,0.73074,0.76267,0.39814,1.53867,1.29008,1.64182,0.0007228,0.0007228,0.0007228
16,207.714,1.39079,1.4329,1.52679,0.8269,0.50251,0.64301,0.33758,1.75751,1.47196,1.81077,0.000703,0.000703,0.000703
17,220.345,1.41495,1.4657,1.53885,0.62424,0.69853,0.7308,0.39506,1.52013,1.37885,1.65058,0.0006832,0.0006832,0.0006832
18,232.962,1.41392,1.4411,1.53034,0.6745,0.68497,0.72038,0.38015,1.50612,1.31718,1.63356,0.0006634,0.0006634,0.0006634
19,245.713,1.36379,1.4027,1.51153,0.68882,0.76209,0.80603,0.46368,1.54765,1.17756,1.63932,0.0006436,0.0006436,0.0006436
20,258.437,1.36287,1.41729,1.5154,0.56024,0.70435,0.75782,0.40489,1.49858,1.3238,1.61387,0.0006238,0.0006238,0.0006238
21,271.1,1.37274,1.3837,1.50583,0.83517,0.61307,0.73369,0.44064,1.49887,1.24441,1.60392,0.000604,0.000604,0.000604
22,283.645,1.35956,1.35729,1.49775,0.64652,0.73796,0.72208,0.40249,1.60679,1.19231,1.64268,0.0005842,0.0005842,0.0005842
23,296.16,1.34025,1.33516,1.47392,0.68913,0.76341,0.78818,0.47123,1.46024,1.18556,1.56693,0.0005644,0.0005644,0.0005644
24,308.684,1.32325,1.31716,1.47415,0.58029,0.75648,0.72234,0.42166,1.56134,1.14776,1.66271,0.0005446,0.0005446,0.0005446
25,321.202,1.32933,1.31627,1.47122,0.62414,0.76528,0.77483,0.44764,1.55472,1.16657,1.62155,0.0005248,0.0005248,0.0005248
