epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.2859,1.73455,2.76694,1.79543,0.592,0.40282,0.40425,0.19597,1.87686,2.20557,2.1402,0.000331832,0.000331832,0.000331832
2,54.9072,1.72133,2.0289,1.76734,0.63357,0.50531,0.65094,0.29192,1.70353,1.78888,1.88453,0.00065858,0.00065858,0.00065858
3,80.9228,1.68057,1.94851,1.7514,0.41698,0.54191,0.53036,0.23273,1.78642,1.93101,1.8603,0.000978728,0.000978728,0.000978728
4,106.651,1.63621,1.84234,1.71994,0.44124,0.68558,0.58683,0.27285,1.81096,1.74415,1.97365,0.0009703,0.0009703,0.0009703
5,131.462,1.60605,1.80687,1.69595,0.73509,0.60957,0.66889,0.31454,1.69657,1.6268,1.83424,0.0009604,0.0009604,0.0009604
6,157.159,1.58613,1.75861,1.68228,0.73727,0.56532,0.63568,0.32945,1.68939,1.5992,1.79238,0.0009505,0.0009505,0.0009505
7,182.552,1.54642,1.68885,1.66152,0.60332,0.62651,0.64866,0.32525,1.70146,1.62064,1.84514,0.0009406,0.0009406,0.0009406
8,208.205,1.50904,1.66279,1.63005,0.86131,0.54364,0.6321,0.35184,1.5494,1.62021,1.65774,0.0009307,0.0009307,0.0009307
9,233.333,1.52493,1.64324,1.63827,0.58612,0.68104,0.67719,0.34065,1.59172,1.51314,1.65548,0.0009208,0.0009208,0.0009208
10,259.379,1.50167,1.55975,1.61628,0.68419,0.76153,0.77598,0.43651,1.53943,1.40826,1.69744,0.0009109,0.0009109,0.0009109
11,287.305,1.51564,1.60137,1.62468,0.67901,0.61393,0.63469,0.34064,1.72261,1.54626,1.7484,0.000901,0.000901,0.000901
12,315.042,1.47875,1.52551,1.59525,0.62429,0.81936,0.78052,0.39193,1.5909,1.37173,1.72087,0.0008911,0.0008911,0.0008911
13,342.434,1.45917,1.50942,1.59373,0.7236,0.76598,0.80938,0.40035,1.53276,1.39165,1.65638,0.0008812,0.0008812,0.0008812
14,370.622,1.45963,1.53937,1.59801,0.68868,0.70645,0.71601,0.36264,1.58273,1.47415,1.67344,0.0008713,0.0008713,0.0008713
15,396.998,1.45204,1.51348,1.58391,0.67452,0.55908,0.62349,0.35799,1.49465,1.39828,1.59917,0.0008614,0.0008614,0.0008614
16,423.309,1.45806,1.50764,1.59901,0.63872,0.67142,0.65411,0.37679,1.55808,1.38112,1.66755,0.0008515,0.0008515,0.0008515
17,448.994,1.42355,1.44501,1.5662,0.73457,0.7556,0.78223,0.39338,1.60521,1.3651,1.69877,0.0008416,0.0008416,0.0008416
18,473.621,1.44042,1.45945,1.57983,0.63926,0.74946,0.78728,0.46472,1.35549,1.2557,1.56704,0.0008317,0.0008317,0.0008317
19,498.893,1.41275,1.45047,1.55624,0.52334,0.79846,0.74601,0.42852,1.47619,1.24162,1.59879,0.0008218,0.0008218,0.0008218
20,529.022,1.39711,1.41741,1.54959,0.59527,0.7601,0.73205,0.44135,1.48125,1.1847,1.61994,0.0008119,0.0008119,0.0008119
21,560.648,1.40901,1.41136,1.5556,0.57566,0.76557,0.72726,0.38872,1.61132,1.32194,1.69739,0.000802,0.000802,0.000802
22,592.302,1.39878,1.38343,1.5364,0.78819,0.68848,0.81433,0.47056,1.43246,1.12956,1.61312,0.0007921,0.0007921,0.0007921
23,624.422,1.38992,1.37929,1.53038,0.56641,0.82428,0.80187,0.43502,1.5773,1.18594,1.66794,0.0007822,0.0007822,0.0007822
24,656.33,1.399,1.39698,1.54255,0.76926,0.67506,0.741,0.44957,1.45893,1.21495,1.59187,0.0007723,0.0007723,0.0007723
25,717.069,1.40558,1.3882,1.53222,0.82465,0.66134,0.72306,0.46222,1.26697,1.1364,1.51256,0.0007624,0.0007624,0.0007624
